ErrorType;Class;Method;ViolatedRule;Object;Statement
HardCodedError;org.cryptoapi.bench.predictablekeystorepassword.PredictableKeyStorePasswordABPSCase1;void go(int);violating CrySL rule for java.security.KeyStore (on Object #df191167594ad46da28b1c7428d41363e0c1ca6cf98564e920b39c93c66ff66d);Second parameter should never be hardcoded.;virtualinvoke r1.<java.security.KeyStore: void load(java.io.InputStream,char[])>($r5, $r6)
ConstraintError;org.cryptoapi.bench.insecureasymmetriccrypto.InsecureAsymmetricCipherBBCase1;void go();violating CrySL rule for java.security.KeyPairGenerator (on Object #9f4b380313c0d1aeb61df7c956daecdc2c8d9c2953f6d5f00e1a95e820099e31);First parameter (with value 1024) should be any of {4096, 3072, 2048};virtualinvoke r0.<java.security.KeyPairGenerator: void initialize(int)>(s0)
RequiredPredicateError;org.cryptoapi.bench.insecureasymmetriccrypto.InsecureAsymmetricCipherBBCase1;void go();violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke r8.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer138, $r9)
ConstraintError;org.cryptoapi.bench.insecureasymmetriccrypto.InsecureAsymmetricCipherABICase3;void method1(int);violating CrySL rule for java.security.KeyPairGenerator (on Object #cf9752df7a791de9e3dda675d86f28b701d96c1071f1d25034de180d8ac808f);First parameter (with value 1024) should be any of {4096, 3072, 2048};virtualinvoke r0.<java.security.KeyPairGenerator: void initialize(int)>(i0)
RequiredPredicateError;org.cryptoapi.bench.insecureasymmetriccrypto.InsecureAsymmetricCipherABICase3;void method1(int);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke r2.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer146, $r3)
RequiredPredicateError;org.cryptoapi.bench.insecureasymmetriccrypto.InsecureAsymmetricCipherABICase1;void go(int);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke r2.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer153, $r3)
ConstraintError;org.cryptoapi.bench.insecureasymmetriccrypto.InsecureAsymmetricCipherABICase1;void go(int);violating CrySL rule for java.security.KeyPairGenerator (on Object #6cf1fda2c11311dd34432f4f046f33bd3a1e899d83e2a1ec3de5900b6e82f5d8);First parameter (with value 1024) should be any of {4096, 3072, 2048};virtualinvoke r0.<java.security.KeyPairGenerator: void initialize(int)>(i0)
RequiredPredicateError;org.cryptoapi.bench.insecureasymmetriccrypto.InsecureAsymmetricCipherABPSCase1;void go(int);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke r2.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer157, $r3)
ConstraintError;org.cryptoapi.bench.insecureasymmetriccrypto.InsecureAsymmetricCipherABPSCase1;void go(int);violating CrySL rule for java.security.KeyPairGenerator (on Object #51d3afedfb29ffc95b525bf5cac5e46b78503e7d5db9f55fccead98cd1846367);First parameter (with value 1024) should be any of {4096, 3072, 2048};virtualinvoke r0.<java.security.KeyPairGenerator: void initialize(int)>(s1)
ConstraintError;org.cryptoapi.bench.insecureasymmetriccrypto.InsecureAsymmetricCipherABICase2;void main(java.lang.String[]);violating CrySL rule for java.security.KeyPairGenerator (on Object #8d820fdf5153173c0cae97e743bcd934a4de3308b0c7abefdb9ca7217dd8fb01);First parameter (with value 1024) should be any of {4096, 3072, 2048};virtualinvoke r2.<java.security.KeyPairGenerator: void initialize(int)>($i0)
RequiredPredicateError;org.cryptoapi.bench.insecureasymmetriccrypto.InsecureAsymmetricCipherABICase2;void go(java.security.KeyPairGenerator,java.security.KeyPair);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke r0.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer158, $r2)
RequiredPredicateError;org.cryptoapi.bench.insecureasymmetriccrypto.InsecureAsymmetricCipherABMC1;void go(int);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke r3.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer170, $r9)
ConstraintError;org.cryptoapi.bench.insecureasymmetriccrypto.InsecureAsymmetricCipherABMC1;void go(int);violating CrySL rule for java.security.KeyPairGenerator (on Object #50907f0caed197c73ed0ffde89edbe63ba35adbbe59d94a91c46063059a24aa9);First parameter (with value 1024) should be any of {4096, 3072, 2048};virtualinvoke r0.<java.security.KeyPairGenerator: void initialize(int)>(i0)
IncompleteOperationError;org.cryptoapi.bench.credentialinstring.CredentialInStringABSCase1;void <init>();violating CrySL rule for javax.crypto.Cipher (on Object #7f0559b9796c5437274f1288a265cf39d7c77f4b091420a1e25016f262279983);Operation on object of type javax.crypto.Cipher object not completed. Expected call to init;specialinvoke $r2.<org.cryptoapi.bench.credentialinstring.Crypto: void <init>(java.lang.String)>(r1)
RequiredPredicateError;org.cryptoapi.bench.credentialinstring.CredentialInStringBBCase1;void main(java.lang.String[]);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke r7.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer184, r5)
RequiredPredicateError;org.cryptoapi.bench.credentialinstring.CredentialInStringBBCase1;void main(java.lang.String[]);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r4.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>(r15, varReplacer187)
TypestateError;org.cryptoapi.bench.credentialinstring.CredentialInStringBBCase1;void main(java.lang.String[]);violating CrySL rule for javax.crypto.Cipher (on Object #643b3abf3d965d4e9c7111e7748ce87e1cdc8381c4b7641721fcd1e526bc2f9b);Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;$r10 = virtualinvoke r7.<javax.crypto.Cipher: byte[] doFinal(byte[])>($r9)
RequiredPredicateError;org.cryptoapi.bench.credentialinstring.CredentialInStringCorrected;void main(java.lang.String[]);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke r6.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer189, r4)
TypestateError;org.cryptoapi.bench.credentialinstring.CredentialInStringCorrected;void main(java.lang.String[]);violating CrySL rule for javax.crypto.Cipher (on Object #a409c42bd6bce15f68483d100e8f73303c7d125d60eabff4bdbaa1d29f8b2862);Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;$r9 = virtualinvoke r6.<javax.crypto.Cipher: byte[] doFinal(byte[])>($r8)
RequiredPredicateError;org.cryptoapi.bench.credentialinstring.CredentialInStringCorrected;void main(java.lang.String[]);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r3.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>(r2, varReplacer191)
TypestateError;org.cryptoapi.bench.predictablecryptographickey.PredictableCryptographicKeyCorrected;void main(java.lang.String[]);violating CrySL rule for javax.crypto.Cipher (on Object #6ab625fdbb5bca5ed76f1bc363b41a06bbc6515f43cc61a57f1a962255c415a0);Unexpected call to method doFinal on object of type javax.crypto.Cipher. Expect a call to one of the following methods init,updateAAD;$r9 = virtualinvoke r6.<javax.crypto.Cipher: byte[] doFinal(byte[])>($r8)
RequiredPredicateError;org.cryptoapi.bench.predictablecryptographickey.PredictableCryptographicKeyCorrected;void main(java.lang.String[]);violating CrySL rule for javax.crypto.spec.SecretKeySpec ;First parameter was not properly generated as prepared Key Material;specialinvoke $r3.<javax.crypto.spec.SecretKeySpec: void <init>(byte[],java.lang.String)>(r2, varReplacer204)
RequiredPredicateError;org.cryptoapi.bench.predictablecryptographickey.PredictableCryptographicKeyCorrected;void main(java.lang.String[]);violating CrySL rule for javax.crypto.Cipher ;Second parameter was not properly generated as generated Key;virtualinvoke r6.<javax.crypto.Cipher: void init(int,java.security.Key)>(varReplacer203, r4)
IncompleteOperationError;org.cryptoapi.bench.predictablecryptographickey.PredictableCryptographicKeyABSCase1;void <init>();violating CrySL rule for javax.crypto.Cipher (on Object #7f0559b9796c5437274f1288a265cf39d7c77f4b091420a1e25016f262279983);Operation on object of type javax.crypto.Cipher object not completed. Expected call to init;specialinvoke $r2.<org.cryptoapi.bench.predictablecryptographickey.Crypto: void <init>(byte[])>($r3)
IncompleteOperationError;org.cryptoapi.bench.predictablecryptographickey.PredictableCryptographicKeyABSCase1;void <init>();violating CrySL rule for javax.crypto.Cipher (on Object #7f0559b9796c5437274f1288a265cf39d7c77f4b091420a1e25016f262279983);Operation on object of type javax.crypto.Cipher object not completed. Expected call to init;specialinvoke $r6.<org.cryptoapi.bench.predictablecryptographickey.Crypto: void <init>(byte[])>(r5)
ConstraintError;org.cryptoapi.bench.pbeiteration.LessThan1000IterationPBEABICase3;void method1(int,java.security.SecureRandom,javax.crypto.spec.PBEParameterSpec);violating CrySL rule for javax.crypto.spec.PBEParameterSpec (on Object #85a7cf066e5faac5a6e0b8830e68b89aed1158b610ca782b9edbd752ccb4aa3a);Second parameter (with value 20)Variable iterationCountmust be  at least 10000;specialinvoke $r2.<javax.crypto.spec.PBEParameterSpec: void <init>(byte[],int)>(r0, i0)
ConstraintError;org.cryptoapi.bench.pbeiteration.CryptoPBEIteration1;void method1(int);violating CrySL rule for javax.crypto.spec.PBEParameterSpec (on Object #30fe824187f4a2bc5fa02000c7a1a9fa519ec194cde6647d845d05a371bdebb);Second parameter (with value 20)Variable iterationCountmust be  at least 10000;specialinvoke $r4.<javax.crypto.spec.PBEParameterSpec: void <init>(byte[],int)>(r3, i1)
ConstraintError;org.cryptoapi.bench.pbeiteration.LessThan1000IterationPBEABICase1;void go(int);violating CrySL rule for javax.crypto.spec.PBEParameterSpec (on Object #402b3152a7f42728cbf42b5df66832635e05259adcdee959fc70bf37da04b1c8);Second parameter (with value 20)Variable iterationCountmust be  at least 10000;specialinvoke $r3.<javax.crypto.spec.PBEParameterSpec: void <init>(byte[],int)>(r2, i0)
ConstraintError;org.cryptoapi.bench.pbeiteration.LessThan1000IterationPBEABMC1;void go(int);violating CrySL rule for javax.crypto.spec.PBEParameterSpec (on Object #33b2b4f2b6760a4abe071e53ad76f55460e605d1c5183999e54871426e3e9968);Second parameter (with value 20)Variable iterationCountmust be  at least 10000;specialinvoke $r3.<javax.crypto.spec.PBEParameterSpec: void <init>(byte[],int)>(r2, i0)
ConstraintError;org.cryptoapi.bench.pbeiteration.LessThan1000IterationPBEBBCase1;void key2();violating CrySL rule for javax.crypto.spec.PBEParameterSpec (on Object #ad80acccee9200b2b4a74a07d9bc2173cd6756dc440d143238bf18354ea70602);Second parameter (with value 20)Variable iterationCountmust be  at least 10000;specialinvoke $r3.<javax.crypto.spec.PBEParameterSpec: void <init>(byte[],int)>(r2, varReplacer227)
ConstraintError;org.cryptoapi.bench.pbeiteration.LessThan1000IterationPBEABICase2;void key2();violating CrySL rule for javax.crypto.spec.PBEParameterSpec (on Object #44a751246f9b5d976ec7fd02e698bb974ff530b5c6b81e0cbf23cace46174536);Second parameter (with value 0)Variable iterationCountmust be  at least 10000;specialinvoke $r3.<javax.crypto.spec.PBEParameterSpec: void <init>(byte[],int)>(r2, $i0)
ConstraintError;org.cryptoapi.bench.pbeiteration.LessThan1000IterationPBECorrected;void key2();violating CrySL rule for javax.crypto.spec.PBEParameterSpec (on Object #1584e48ff62a4a2b4743c29b3015c6cba772a43875468a4141e68faa2ea1bd26);Second parameter (with value 1020)Variable iterationCountmust be  at least 10000;specialinvoke $r3.<javax.crypto.spec.PBEParameterSpec: void <init>(byte[],int)>(r2, varReplacer235)
ConstraintError;org.cryptoapi.bench.pbeiteration.LessThan1000IterationPBEABPSCase1;void main(java.lang.String[]);violating CrySL rule for javax.crypto.spec.PBEParameterSpec (on Object #ace4fae08298b1751254e15d5b3218079193bc90dcca31d871a9e36a060b2aab);Second parameter (with value 5)Variable iterationCountmust be  at least 10000;specialinvoke $r3.<javax.crypto.spec.PBEParameterSpec: void <init>(byte[],int)>(r0, s0)
ConstraintError;org.cryptoapi.bench.staticsalts.StaticSaltsCorrected;void key2();violating CrySL rule for javax.crypto.spec.PBEParameterSpec (on Object #18a9fae20ebd5fa18e50755ef14fb156c0eee69aa2f075bbca799bc80f490822);Second parameter (with value 1020)Variable iterationCountmust be  at least 10000;specialinvoke $r3.<javax.crypto.spec.PBEParameterSpec: void <init>(byte[],int)>(r2, varReplacer278)
ConstraintError;org.cryptoapi.bench.staticsalts.StaticSaltsABPSCase1;void key2(int);violating CrySL rule for javax.crypto.spec.PBEParameterSpec (on Object #d6a9f88fc99307247c09e12c40ce1edcaea6ffc8df9d26c0225b47c7627fed76);Second parameter (with value 1020)Variable iterationCountmust be  at least 10000;specialinvoke $r4.<javax.crypto.spec.PBEParameterSpec: void <init>(byte[],int)>(r3, varReplacer279)
RequiredPredicateError;org.cryptoapi.bench.staticsalts.StaticSaltsABMC1;void key2(byte[],int);violating CrySL rule for javax.crypto.spec.PBEParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r0.<javax.crypto.spec.PBEParameterSpec: void <init>(byte[],int)>(r1, i0)
ConstraintError;org.cryptoapi.bench.staticsalts.StaticSaltsABMC1;void key2(byte[],int);violating CrySL rule for javax.crypto.spec.PBEParameterSpec (on Object #ac2bbb6b0330c27dcde667cc62d4a6433dfca251bca36f9061feb30ca50a74b);Second parameter (with value 1020)Variable iterationCountmust be  at least 10000;specialinvoke $r0.<javax.crypto.spec.PBEParameterSpec: void <init>(byte[],int)>(r1, i0)
RequiredPredicateError;org.cryptoapi.bench.staticsalts.StaticSaltsABHCase1;void key2();violating CrySL rule for javax.crypto.spec.PBEParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r10.<javax.crypto.spec.PBEParameterSpec: void <init>(byte[],int)>(r9, varReplacer283)
ConstraintError;org.cryptoapi.bench.staticsalts.StaticSaltsABHCase1;void key2();violating CrySL rule for javax.crypto.spec.PBEParameterSpec (on Object #1ae2fe0f0e4662280e64b90680def9de22c74293d528fe96b84af66050dc02f5);Second parameter (with value 1020)Variable iterationCountmust be  at least 10000;specialinvoke $r10.<javax.crypto.spec.PBEParameterSpec: void <init>(byte[],int)>(r9, varReplacer283)
ConstraintError;org.cryptoapi.bench.staticsalts.StaticSaltsABICase2;void key2(int);violating CrySL rule for javax.crypto.spec.PBEParameterSpec (on Object #f5a9f368a15c60a6fe574c1a47fe184855a089cca2670e9d66fc839d08536058);Second parameter (with value 1020)Variable iterationCountmust be  at least 10000;specialinvoke $r0.<javax.crypto.spec.PBEParameterSpec: void <init>(byte[],int)>($r1, i1)
RequiredPredicateError;org.cryptoapi.bench.staticsalts.StaticSaltsABICase2;void key2(int);violating CrySL rule for javax.crypto.spec.PBEParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r0.<javax.crypto.spec.PBEParameterSpec: void <init>(byte[],int)>($r1, i1)
ConstraintError;org.cryptoapi.bench.staticsalts.StaticSaltsBBCase1;void key2();violating CrySL rule for javax.crypto.spec.PBEParameterSpec (on Object #8f6d9327fc3ce94dcd9b59530cb893093f77f8e275a7c4c0f2dc2c957ff1a571);Second parameter (with value 1020)Variable iterationCountmust be  at least 10000;specialinvoke $r2.<javax.crypto.spec.PBEParameterSpec: void <init>(byte[],int)>(r1, varReplacer291)
RequiredPredicateError;org.cryptoapi.bench.staticsalts.StaticSaltsBBCase1;void key2();violating CrySL rule for javax.crypto.spec.PBEParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r2.<javax.crypto.spec.PBEParameterSpec: void <init>(byte[],int)>(r1, varReplacer291)
ConstraintError;org.cryptoapi.bench.staticsalts.CryptoStaticSalt1;void method1(byte[]);violating CrySL rule for javax.crypto.spec.PBEParameterSpec (on Object #1798d1550bf5860a0d3be1062d2ec459f41e7c8161cce413fd44fd7173110b51);Second parameter (with value 1020)Variable iterationCountmust be  at least 10000;specialinvoke $r1.<javax.crypto.spec.PBEParameterSpec: void <init>(byte[],int)>(r3, varReplacer292)
RequiredPredicateError;org.cryptoapi.bench.staticsalts.CryptoStaticSalt1;void method1(byte[]);violating CrySL rule for javax.crypto.spec.PBEParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r1.<javax.crypto.spec.PBEParameterSpec: void <init>(byte[],int)>(r3, varReplacer292)
ConstraintError;org.cryptoapi.bench.staticsalts.StaticSaltsABICase3;void method2(byte[],int);violating CrySL rule for javax.crypto.spec.PBEParameterSpec (on Object #82e6b41a98b89193e9238ac472382118126cc7130e86217129353fd334406a1f);Second parameter (with value 1020)Variable iterationCountmust be  at least 10000;specialinvoke $r0.<javax.crypto.spec.PBEParameterSpec: void <init>(byte[],int)>(r1, i0)
RequiredPredicateError;org.cryptoapi.bench.staticsalts.StaticSaltsABICase3;void method2(byte[],int);violating CrySL rule for javax.crypto.spec.PBEParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r0.<javax.crypto.spec.PBEParameterSpec: void <init>(byte[],int)>(r1, i0)
ConstraintError;org.cryptoapi.bench.staticsalts.StaticSaltsABICase1;void key2(byte[],int);violating CrySL rule for javax.crypto.spec.PBEParameterSpec (on Object #6b86a594060c5126a87c279f86ac3e36df119dda2e853c9d6b82e400633219a1);Second parameter (with value 1020)Variable iterationCountmust be  at least 10000;specialinvoke $r0.<javax.crypto.spec.PBEParameterSpec: void <init>(byte[],int)>(r1, i0)
RequiredPredicateError;org.cryptoapi.bench.staticsalts.StaticSaltsABICase1;void key2(byte[],int);violating CrySL rule for javax.crypto.spec.PBEParameterSpec ;First parameter was not properly generated as randomized;specialinvoke $r0.<javax.crypto.spec.PBEParameterSpec: void <init>(byte[],int)>(r1, i0)
ConstraintError;org.cryptoapi.bench.brokenhash.CryptoHash4;void encrypt(java.lang.String,java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #838198a1bb5cb20c6ae47b8a29f4c19ee68716bcbc454f31e58bed5a8fc4cb12);First parameter (with value "MD2") should be any of {SHA-256, SHA-384, SHA-512};r2 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r1)
ConstraintError;org.cryptoapi.bench.brokenhash.BrokenHashABPSCase3;void main(java.lang.String[]);violating CrySL rule for java.security.MessageDigest (on Object #f438a3fd194ff3c4d6ec79a2c037be7fec6532d948af2f0929ca2306e1f8e293);First parameter (with value "MD4") should be any of {SHA-256, SHA-384, SHA-512};r5 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer294)
ConstraintError;org.cryptoapi.bench.brokenhash.BrokenHashABPSCase1;void main(java.lang.String[]);violating CrySL rule for java.security.MessageDigest (on Object #1994481c1a69ef0976f29299c7fab59d139f79a30ba1964e5cb39d685c07e06c);First parameter (with value "SHA1") should be any of {SHA-256, SHA-384, SHA-512};r5 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer296)
ConstraintError;org.cryptoapi.bench.brokenhash.BrokenHashABICase3;void go(java.lang.String,java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #c21ff839537cd0e8a77337fac81a88a7703ef9cb9a767ccfed0f80bdf6cf029b);First parameter (with value "MD4") should be any of {SHA-256, SHA-384, SHA-512};r1 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(r0)
ConstraintError;org.cryptoapi.bench.brokenhash.BrokenHashBBCase3;void main(java.lang.String[]);violating CrySL rule for java.security.MessageDigest (on Object #8f8492b20fa9d45565b7f506ee26e0a36b62a7587aee492b99ec427eca858ff2);First parameter (with value "MD4") should be any of {SHA-256, SHA-384, SHA-512};r1 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer298)
ConstraintError;org.cryptoapi.bench.brokenhash.CryptoHash2;void encrypt(java.lang.String,java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #5a624474406ff8550812c0e9745f85e8552d12ee943114783de4e0fa72d7c8cf);First parameter (with value "MD5") should be any of {SHA-256, SHA-384, SHA-512};r2 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r1)
ConstraintError;org.cryptoapi.bench.brokenhash.BrokenHashABICase10;void method1(java.lang.String,java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #ac83de8666f6cace0a4f21681906660198230dae134435347055749d830b608d);First parameter (with value "MD5") should be any of {SHA-256, SHA-384, SHA-512};r1 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(r0)
ConstraintError;org.cryptoapi.bench.brokenhash.BrokenHashABICase12;void method1(java.lang.String,java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #87413bd434f41a89ce086a8b6a34f4fd59b6e3016d0885a86a950e901178058e);First parameter (with value "MD2") should be any of {SHA-256, SHA-384, SHA-512};r1 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(r0)
ConstraintError;org.cryptoapi.bench.brokenhash.BrokenHashBBCase1;void main(java.lang.String[]);violating CrySL rule for java.security.MessageDigest (on Object #9ffc0208a435e93f65dee53b3ce0da346a9755a216f665a6b50f9407d7c1671f);First parameter (with value "SHA1") should be any of {SHA-256, SHA-384, SHA-512};r1 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer299)
ConstraintError;org.cryptoapi.bench.brokenhash.BrokenHashABICase1;void go(java.lang.String,java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #bdcae1e54ce74d45845cb7036178501c1a973b76e7e6ff55a0e2edf57e153e6b);First parameter (with value "SHA1") should be any of {SHA-256, SHA-384, SHA-512};r1 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(r0)
ConstraintError;org.cryptoapi.bench.brokenhash.BrokenHashBBCase4;void main(java.lang.String[]);violating CrySL rule for java.security.MessageDigest (on Object #e44df4af27f2c1389b64609fb8234ec365253031cd12ea79b3afca37ee8391cf);First parameter (with value "MD2") should be any of {SHA-256, SHA-384, SHA-512};r1 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer300)
ConstraintError;org.cryptoapi.bench.brokenhash.BrokenHashABICase4;void go(java.lang.String,java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #58f5a977cf6dab6ec6aac69f7ef1c21e383bf407c56c388b26f7f7b14acc3ff7);First parameter (with value "MD2") should be any of {SHA-256, SHA-384, SHA-512};r1 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(r0)
ConstraintError;org.cryptoapi.bench.brokenhash.BrokenHashABPSCase2;void main(java.lang.String[]);violating CrySL rule for java.security.MessageDigest (on Object #73564c098617f43a7d9d28d6b079a7ff80dfb60e91275b80d66d88b9cc47b8c2);First parameter (with value "MD5") should be any of {SHA-256, SHA-384, SHA-512};r5 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer302)
ConstraintError;org.cryptoapi.bench.brokenhash.CryptoHash1;void encrypt(java.lang.String,java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #15f361ee115d1c360cd3aa45098420c054a522d66fec78e97071c4e19897218a);First parameter (with value "SHA1") should be any of {SHA-256, SHA-384, SHA-512};r2 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r1)
ConstraintError;org.cryptoapi.bench.brokenhash.BrokenHashABICase11;void method1(java.lang.String,java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #4836c58120d420ec80d23ad8b8d64d5c2c9f25caa86ac259e3afd7600eeaac53);First parameter (with value "MD4") should be any of {SHA-256, SHA-384, SHA-512};r1 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(r0)
ConstraintError;org.cryptoapi.bench.brokenhash.CryptoHash3;void encrypt(java.lang.String,java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #9f8afbb3973e2cbf2fa8308d882194932cc73ab8d6c735bc914b504c9945fa28);First parameter (with value "MD4") should be any of {SHA-256, SHA-384, SHA-512};r2 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>($r1)
ConstraintError;org.cryptoapi.bench.brokenhash.BrokenHashABICase2;void go(java.lang.String,java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #6ff90449e19358db9ee3448331c16dd1369839b2376f348bd1951687d42cd6c8);First parameter (with value "MD5") should be any of {SHA-256, SHA-384, SHA-512};r1 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(r0)
ConstraintError;org.cryptoapi.bench.brokenhash.BrokenHashBBCase2;void main(java.lang.String[]);violating CrySL rule for java.security.MessageDigest (on Object #4a886d97196f21a295b78f840f166c57a08fd7ff4f31ed030321bf1f2451ab3a);First parameter (with value "MD5") should be any of {SHA-256, SHA-384, SHA-512};r1 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer303)
ConstraintError;org.cryptoapi.bench.brokenhash.BrokenHashABPSCase4;void main(java.lang.String[]);violating CrySL rule for java.security.MessageDigest (on Object #ffa67ae755c8613a72d723d53979e51d343991256e9ba6d62ee3aa21ee27423b);First parameter (with value "MD2") should be any of {SHA-256, SHA-384, SHA-512};r5 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(varReplacer304)
ConstraintError;org.cryptoapi.bench.brokenhash.BrokenHashABMC2;void go(java.lang.String,java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #807ccc006a07100150cce84be79c893f67ec26f07118e41c570724172b1509fa);First parameter (with value "MD5") should be any of {SHA-256, SHA-384, SHA-512};r1 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(r0)
ConstraintError;org.cryptoapi.bench.brokenhash.BrokenHashABMC4;void go(java.lang.String,java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #db4240cdf96a30008637a261ddc381de3cc78c777a530c38c4ef708660684f1f);First parameter (with value "MD2") should be any of {SHA-256, SHA-384, SHA-512};r1 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(r0)
ConstraintError;org.cryptoapi.bench.brokenhash.BrokenHashABMC3;void go(java.lang.String,java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #8d91dcde88e2c76f1ac594f6685c833339c2a3225f60fe9dba09bfce037d3aae);First parameter (with value "MD4") should be any of {SHA-256, SHA-384, SHA-512};r1 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(r0)
ConstraintError;org.cryptoapi.bench.brokenhash.BrokenHashABMC1;void go(java.lang.String,java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #abf584d5f7de92734b86aed94bee37bf6f2d4e402192df02523b5ff3fc3303d4);First parameter (with value "SHA1") should be any of {SHA-256, SHA-384, SHA-512};r1 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(r0)
ConstraintError;org.cryptoapi.bench.brokenhash.BrokenHashABICase9;void method1(java.lang.String,java.lang.String);violating CrySL rule for java.security.MessageDigest (on Object #12b892aa8026e3956cf5346cba00e8585ece7ca19efa0a3d8eaec6b386c99c11);First parameter (with value "SHA1") should be any of {SHA-256, SHA-384, SHA-512};r1 = staticinvoke <java.security.MessageDigest: java.security.MessageDigest getInstance(java.lang.String)>(r0)
