                           spec                               code        event                                                                                                    cls                          method  lines  runkeys  apks                                                                src                                  vals                                                                                         msg
234     TrustManagerFactorySpec       TRUSTMANAGERFACTORY-ORDER-00         init                                                                 io.ktor.network.tls.TLSConfigBuilderKt                findTrustManager    227      183     4                                            TLSConfigBuilder.kt:159                                    []                       the observed call sequence is not one TrustManagerFactorySpec accepts
211     TrustManagerFactorySpec       TRUSTMANAGERFACTORY-ORDER-00           g2                                                                 de.duenndns.ssl.MemorizingTrustManager                 getTrustManager    214       99     1                                    MemorizingTrustManager.java:310                                    []                       the observed call sequence is not one TrustManagerFactorySpec accepts
212     TrustManagerFactorySpec       TRUSTMANAGERFACTORY-ORDER-00           g2                                                de.luhmer.owncloudnewsreader.ssl.MemorizingTrustManager                 getTrustManager    194       99     1                                    MemorizingTrustManager.java:282                                    []                       the observed call sequence is not one TrustManagerFactorySpec accepts
221     TrustManagerFactorySpec       TRUSTMANAGERFACTORY-ORDER-00         gtm1                                                                 de.duenndns.ssl.MemorizingTrustManager                 getTrustManager    214       99     1                                    MemorizingTrustManager.java:312                                    []                       the observed call sequence is not one TrustManagerFactorySpec accepts
222     TrustManagerFactorySpec       TRUSTMANAGERFACTORY-ORDER-00         gtm1                                                de.luhmer.owncloudnewsreader.ssl.MemorizingTrustManager                 getTrustManager    194       99     1                                    MemorizingTrustManager.java:284                                    []                       the observed call sequence is not one TrustManagerFactorySpec accepts
231     TrustManagerFactorySpec       TRUSTMANAGERFACTORY-ORDER-00         init                                                                 de.duenndns.ssl.MemorizingTrustManager                 getTrustManager    214       99     1                                    MemorizingTrustManager.java:310                                    []                       the observed call sequence is not one TrustManagerFactorySpec accepts
232     TrustManagerFactorySpec       TRUSTMANAGERFACTORY-ORDER-00         init                                                de.luhmer.owncloudnewsreader.ssl.MemorizingTrustManager                 getTrustManager    194       99     1                                    MemorizingTrustManager.java:282                                    []                       the observed call sequence is not one TrustManagerFactorySpec accepts
213     TrustManagerFactorySpec       TRUSTMANAGERFACTORY-ORDER-00           g2                                       eu.opencloud.android.lib.common.network.AdvancedX509TrustManager                          <init>     32       30     1                                   AdvancedX509TrustManager.java:56                                    []                       the observed call sequence is not one TrustManagerFactorySpec accepts
223     TrustManagerFactorySpec       TRUSTMANAGERFACTORY-ORDER-00         gtm1                                       eu.opencloud.android.lib.common.network.AdvancedX509TrustManager            findX509TrustManager     32       30     1                                   AdvancedX509TrustManager.java:70                                    []                       the observed call sequence is not one TrustManagerFactorySpec accepts
233     TrustManagerFactorySpec       TRUSTMANAGERFACTORY-ORDER-00         init                                       eu.opencloud.android.lib.common.network.AdvancedX509TrustManager                          <init>     32       30     1                                   AdvancedX509TrustManager.java:57                                    []                       the observed call sequence is not one TrustManagerFactorySpec accepts
218     TrustManagerFactorySpec       TRUSTMANAGERFACTORY-ORDER-00           g2                                                                        org.conscrypt.SSLParametersImpl   createDefaultX509TrustManager     30       28     2                                         SSLParametersImpl.java:605                                    []                       the observed call sequence is not one TrustManagerFactorySpec accepts
228     TrustManagerFactorySpec       TRUSTMANAGERFACTORY-ORDER-00         gtm1                                                                        org.conscrypt.SSLParametersImpl   createDefaultX509TrustManager     30       28     2                                         SSLParametersImpl.java:607                                    []                       the observed call sequence is not one TrustManagerFactorySpec accepts
238     TrustManagerFactorySpec       TRUSTMANAGERFACTORY-ORDER-00         init                                                                        org.conscrypt.SSLParametersImpl   createDefaultX509TrustManager     30       28     2                                         SSLParametersImpl.java:606                                    []                       the observed call sequence is not one TrustManagerFactorySpec accepts
210     TrustManagerFactorySpec       TRUSTMANAGERFACTORY-ORDER-00           g2                                       com.owncloud.android.lib.common.network.AdvancedX509TrustManager                          <init>     24       20     1                                   AdvancedX509TrustManager.java:58                                    []                       the observed call sequence is not one TrustManagerFactorySpec accepts
220     TrustManagerFactorySpec       TRUSTMANAGERFACTORY-ORDER-00         gtm1                                       com.owncloud.android.lib.common.network.AdvancedX509TrustManager            findX509TrustManager     24       20     1                                   AdvancedX509TrustManager.java:72                                    []                       the observed call sequence is not one TrustManagerFactorySpec accepts
230     TrustManagerFactorySpec       TRUSTMANAGERFACTORY-ORDER-00         init                                       com.owncloud.android.lib.common.network.AdvancedX509TrustManager                          <init>     24       20     1                                   AdvancedX509TrustManager.java:59                                    []                       the observed call sequence is not one TrustManagerFactorySpec accepts
209     TrustManagerFactorySpec       TRUSTMANAGERFACTORY-ORDER-00           g2                                                                      at.bitfire.cert4android.CertUtils                 getTrustManager      6        5     1                                                    CertUtils.kt:22                                    []                       the observed call sequence is not one TrustManagerFactorySpec accepts
219     TrustManagerFactorySpec       TRUSTMANAGERFACTORY-ORDER-00         gtm1                                                                      at.bitfire.cert4android.CertUtils                 getTrustManager      6        5     1                                                    CertUtils.kt:24                                    []                       the observed call sequence is not one TrustManagerFactorySpec accepts
229     TrustManagerFactorySpec       TRUSTMANAGERFACTORY-ORDER-00         init                                                                      at.bitfire.cert4android.CertUtils                 getTrustManager      6        5     1                                                    CertUtils.kt:22                                    []                       the observed call sequence is not one TrustManagerFactorySpec accepts
