admissibilidade (colunas, nao filtro): {'admissivel': 15653, 'inadmissivel': 22, 'estrutural': 171, 'parada_ferramenta': 246, 'lancamento_externo': 45}
unidades (apk, timeout) pareadas: 489 | timeouts: [60, 180, 300] | tasks: 16137 | tools: ['monkey', 'droidbot:dfs_greedy', 'droidbot:bfs_greedy', 'droidbot:dfs_naive', 'droidbot:bfs_naive', 'ape', 'droidmate', 'humanoid', 'ares', 'fastbot', 'qtesting']
CSVs em: /pedro/desenvolvimento/workspaces/workspaces-doutorado/workspace-rv/rvsec/rv-android/data/results/estudo02-20260916_consolidado

   T A                      B                      metric        medA    medB  A>B  A<B        p sig
 300 droidbot:bfs_greedy    droidbot:bfs_naive     cov_mop      19.02  14.545   92   39      0.0 sim
 300 droidbot:bfs_greedy    droidbot:bfs_naive     mop_unique       0       0   18    4  0.00888 sim
 300 droidbot:bfs_greedy    droidbot:bfs_naive     mop_unique4       0       0   18    4  0.00312 sim
 300 droidbot:bfs_greedy    droidbot:bfs_naive     cov_method  20.031  18.831  112   47      0.0 sim
 300 droidbot:bfs_greedy    droidbot:bfs_naive     mop_total        0       0   29    6  0.00041 sim
 300 droidbot:bfs_greedy    ape                    cov_mop      19.02  30.303   15  126      0.0 sim
 300 droidbot:bfs_greedy    ape                    mop_unique       0       0   11   29  0.00103 sim
 300 droidbot:bfs_greedy    ape                    mop_unique4       0       0   11   28  0.00213 sim
 300 droidbot:bfs_greedy    ape                    cov_method  20.031  30.436   15  146      0.0 sim
 300 droidbot:bfs_greedy    ape                    mop_total        0       0    8   73      0.0 sim
 300 droidbot:bfs_greedy    droidmate              cov_mop      19.02   18.07   46   94  0.00014 sim
 300 droidbot:bfs_greedy    droidmate              mop_unique       0       0   15   11  0.45326 nao
 300 droidbot:bfs_greedy    droidmate              mop_unique4       0       0   13    8  0.25041 nao
 300 droidbot:bfs_greedy    droidmate              cov_method  20.031  21.582   54  108  0.00013 sim
 300 droidbot:bfs_greedy    droidmate              mop_total        0       0   17   52  0.00034 sim
 300 droidbot:bfs_greedy    humanoid               cov_mop      19.02   20.85   55   79  0.03963 sim
 300 droidbot:bfs_greedy    humanoid               mop_unique       0       0   16   13  0.44853 nao
 300 droidbot:bfs_greedy    humanoid               mop_unique4       0       0   16   13  0.53726 nao
 300 droidbot:bfs_greedy    humanoid               cov_method  20.031  21.555   61   97  0.00109 sim
 300 droidbot:bfs_greedy    humanoid               mop_total        0       0   23   21  0.95345 nao
 300 droidbot:bfs_greedy    ares                   cov_mop      19.02  18.503   62   80  0.47035 nao
 300 droidbot:bfs_greedy    ares                   mop_unique       0       0   22   10  0.09382 nao
 300 droidbot:bfs_greedy    ares                   mop_unique4       0       0   20   11  0.19557 nao
 300 droidbot:bfs_greedy    ares                   cov_method  20.031  21.193   71   91  0.34945 nao
 300 droidbot:bfs_greedy    ares                   mop_total        0       0   23   46  0.00378 sim
 300 droidbot:bfs_greedy    fastbot                cov_mop      19.02   17.22   74   64  0.19373 nao
 300 droidbot:bfs_greedy    fastbot                mop_unique       0       0   20   14  0.12959 nao
 300 droidbot:bfs_greedy    fastbot                mop_unique4       0       0   20   13  0.21368 nao
 300 droidbot:bfs_greedy    fastbot                cov_method  20.031  19.919   84   78  0.48926 nao
 300 droidbot:bfs_greedy    fastbot                mop_total        0       0   24   28  0.45473 nao
 300 droidbot:bfs_greedy    qtesting               cov_mop      19.02  13.955   87   49    2e-05 sim
 300 droidbot:bfs_greedy    qtesting               mop_unique       0       0   23    8  0.00418 sim
 300 droidbot:bfs_greedy    qtesting               mop_unique4       0       0   20    9   0.0056 sim
 300 droidbot:bfs_greedy    qtesting               cov_method  20.031  17.627   97   63  0.00026 sim
 300 droidbot:bfs_greedy    qtesting               mop_total        0       0   19   53      0.0 sim
 300 droidbot:dfs_naive     droidbot:bfs_naive     cov_mop     14.419  14.545   55   69  0.32462 nao
 300 droidbot:dfs_naive     droidbot:bfs_naive     mop_unique       0       0    2    7   0.0496 sim
 300 droidbot:dfs_naive     droidbot:bfs_naive     mop_unique4       0       0    2    7  0.03781 sim
 300 droidbot:dfs_naive     droidbot:bfs_naive     cov_method  19.182  18.831   72   84  0.44465 nao
 300 droidbot:dfs_naive     droidbot:bfs_naive     mop_total        0       0    3   12  0.02296 sim
 300 droidbot:dfs_naive     ape                    cov_mop     14.419  30.303    7  135      0.0 sim
 300 droidbot:dfs_naive     ape                    mop_unique       0       0    7   37      0.0 sim
 300 droidbot:dfs_naive     ape                    mop_unique4       0       0    7   36      0.0 sim
 300 droidbot:dfs_naive     ape                    cov_method  19.182  30.436    7  154      0.0 sim
 300 droidbot:dfs_naive     ape                    mop_total        0       0    3   77      0.0 sim
 300 droidbot:dfs_naive     droidmate              cov_mop     14.419   18.07   26  110      0.0 sim
 300 droidbot:dfs_naive     droidmate              mop_unique       0       0    4   20    0.001 sim
 300 droidbot:dfs_naive     droidmate              mop_unique4       0       0    3   18  0.00219 sim
 300 droidbot:dfs_naive     droidmate              cov_method  19.182  21.582   37  125      0.0 sim
 300 droidbot:dfs_naive     droidmate              mop_total        0       0    6   63      0.0 sim
 300 droidbot:dfs_naive     humanoid               cov_mop     14.419   20.85   24  113      0.0 sim
 300 droidbot:dfs_naive     humanoid               mop_unique       0       0    8   22  0.00492 sim
 300 droidbot:dfs_naive     humanoid               mop_unique4       0       0    7   22  0.00282 sim
 300 droidbot:dfs_naive     humanoid               cov_method  19.182  21.555   34  124      0.0 sim
 300 droidbot:dfs_naive     humanoid               mop_total        0       0   11   32  0.00021 sim
 300 droidbot:dfs_naive     ares                   cov_mop     14.419  18.503   38  104      0.0 sim
 300 droidbot:dfs_naive     ares                   mop_unique       0       0   11   22  0.08103 nao
 300 droidbot:dfs_naive     ares                   mop_unique4       0       0   10   21  0.03853 sim
 300 droidbot:dfs_naive     ares                   cov_method  19.182  21.193   46  115      0.0 sim
 300 droidbot:dfs_naive     ares                   mop_total        0       0   11   60      0.0 sim
 300 droidbot:dfs_naive     fastbot                cov_mop     14.419   17.22   55   85  0.00567 sim
 300 droidbot:dfs_naive     fastbot                mop_unique       0       0    9   20  0.03853 sim
 300 droidbot:dfs_naive     fastbot                mop_unique4       0       0    9   19    0.035 sim
 300 droidbot:dfs_naive     fastbot                cov_method  19.182  19.919   70   91  0.00463 sim
 300 droidbot:dfs_naive     fastbot                mop_total        0       0    9   36  0.00037 sim
 300 droidbot:dfs_naive     qtesting               cov_mop     14.419  13.955   67   70   0.5801 nao
 300 droidbot:dfs_naive     qtesting               mop_unique       0       0   13   12  0.83986 nao
 300 droidbot:dfs_naive     qtesting               mop_unique4       0       0   11   12  0.85506 nao
 300 droidbot:dfs_naive     qtesting               cov_method  19.182  17.627   78   84  0.99133 nao
 300 droidbot:dfs_naive     qtesting               mop_total        0       0   11   54      0.0 sim
 300 droidbot:bfs_naive     ape                    cov_mop     14.545  30.303    9  128      0.0 sim
 300 droidbot:bfs_naive     ape                    mop_unique       0       0    9   33    1e-05 sim
 300 droidbot:bfs_naive     ape                    mop_unique4       0       0    8   33      0.0 sim
 300 droidbot:bfs_naive     ape                    cov_method  18.831  30.436   10  151      0.0 sim
 300 droidbot:bfs_naive     ape                    mop_total        0       0    2   78      0.0 sim
 300 droidbot:bfs_naive     droidmate              cov_mop     14.545   18.07   33  101      0.0 sim
 300 droidbot:bfs_naive     droidmate              mop_unique       0       0    5   19   0.0155 sim
 300 droidbot:bfs_naive     droidmate              mop_unique4       0       0    4   16   0.0158 sim
 300 droidbot:bfs_naive     droidmate              cov_method  18.831  21.582   44  117      0.0 sim
 300 droidbot:bfs_naive     droidmate              mop_total        0       0    6   61      0.0 sim
 300 droidbot:bfs_naive     humanoid               cov_mop     14.545   20.85   29  106      0.0 sim
 300 droidbot:bfs_naive     humanoid               mop_unique       0       0   10   19  0.07556 nao
 300 droidbot:bfs_naive     humanoid               mop_unique4       0       0   10   19  0.03374 sim
 300 droidbot:bfs_naive     humanoid               cov_method  18.831  21.555   32  125      0.0 sim
 300 droidbot:bfs_naive     humanoid               mop_total        0       0   14   29  0.01368 sim
 300 droidbot:bfs_naive     ares                   cov_mop     14.545  18.503   43   96      0.0 sim
 300 droidbot:bfs_naive     ares                   mop_unique       0       0   15   17  0.45965 nao
 300 droidbot:bfs_naive     ares                   mop_unique4       0       0   13   16  0.23395 nao
 300 droidbot:bfs_naive     ares                   cov_method  18.831  21.193   53  109      0.0 sim
 300 droidbot:bfs_naive     ares                   mop_total        0       0   13   56      0.0 sim
 300 droidbot:bfs_naive     fastbot                cov_mop     14.545   17.22   56   82   0.0613 nao
 300 droidbot:bfs_naive     fastbot                mop_unique       0       0   13   17  0.43357 nao
 300 droidbot:bfs_naive     fastbot                mop_unique4       0       0   12   16  0.27832 nao
 300 droidbot:bfs_naive     fastbot                cov_method  18.831  19.919   67   94   0.0116 sim
 300 droidbot:bfs_naive     fastbot                mop_total        0       0   15   30  0.07124 nao
 300 droidbot:bfs_naive     qtesting               cov_mop     14.545  13.955   65   69  0.36079 nao
 300 droidbot:bfs_naive     qtesting               mop_unique       0       0   15    8  0.12777 nao
 300 droidbot:bfs_naive     qtesting               mop_unique4       0       0   12    9  0.25828 nao
 300 droidbot:bfs_naive     qtesting               cov_method  18.831  17.627   75   84  0.96571 nao
 300 droidbot:bfs_naive     qtesting               mop_total        0       0   11   53      0.0 sim
 300 ape                    droidmate              cov_mop     30.303   18.07  114   25      0.0 sim
 300 ape                    droidmate              mop_unique       0       0   27   12  0.00122 sim
 300 ape                    droidmate              mop_unique4       0       0   26   11  0.00036 sim
 300 ape                    droidmate              cov_method  30.436  21.582  134   25      0.0 sim
 300 ape                    droidmate              mop_total        0       0   53   21  0.00148 sim
 300 ape                    humanoid               cov_mop     30.303   20.85  124   18      0.0 sim
 300 ape                    humanoid               mop_unique       0       0   35   11  0.00011 sim
 300 ape                    humanoid               mop_unique4       0       0   34   11  0.00011 sim
 300 ape                    humanoid               cov_method  30.436  21.555  140   21      0.0 sim
 300 ape                    humanoid               mop_total        0       0   69   15      0.0 sim
 300 ape                    ares                   cov_mop     30.303  18.503  127   15      0.0 sim
 300 ape                    ares                   mop_unique       0       0   36    6    1e-05 sim
 300 ape                    ares                   mop_unique4       0       0   33    6    4e-05 sim
 300 ape                    ares                   cov_method  30.436  21.193  146   16      0.0 sim
 300 ape                    ares                   mop_total        0       0   62   12      0.0 sim
 300 ape                    fastbot                cov_mop     30.303   17.22  115   23      0.0 sim
 300 ape                    fastbot                mop_unique       0       0   34    8    3e-05 sim
 300 ape                    fastbot                mop_unique4       0       0   33    7    2e-05 sim
 300 ape                    fastbot                cov_method  30.436  19.919  141   21      0.0 sim
 300 ape                    fastbot                mop_total        0       0   73    7      0.0 sim
 300 ape                    qtesting               cov_mop     30.303  13.955  126   13      0.0 sim
 300 ape                    qtesting               mop_unique       0       0   36   10      0.0 sim
 300 ape                    qtesting               mop_unique4       0       0   34   10      0.0 sim
 300 ape                    qtesting               cov_method  30.436  17.627  148   12      0.0 sim
 300 ape                    qtesting               mop_total        0       0   30   51    5e-05 sim
 300 droidmate              humanoid               cov_mop      18.07   20.85   91   51  0.01362 sim
 300 droidmate              humanoid               mop_unique       0       0   17   17  0.79733 nao
 300 droidmate              humanoid               mop_unique4       0       0   15   16  0.82159 nao
 300 droidmate              humanoid               cov_method  21.582  21.555   99   62  0.01511 sim
 300 droidmate              humanoid               mop_total        0       0   51   20  0.00082 sim
 300 droidmate              ares                   cov_mop      18.07  18.503   85   52  0.00164 sim
 300 droidmate              ares                   mop_unique       0       0   21   14  0.38008 nao
 300 droidmate              ares                   mop_unique4       0       0   19   13  0.72228 nao
 300 droidmate              ares                   cov_method  21.582  21.193  103   56  0.00033 sim
 300 droidmate              ares                   mop_total        0       0   41   28  0.06716 nao
 300 droidmate              fastbot                cov_mop      18.07   17.22   88   55  0.00151 sim
 300 droidmate              fastbot                mop_unique       0       0   20   16  0.33278 nao
 300 droidmate              fastbot                mop_unique4       0       0   17   14  0.51736 nao
 300 droidmate              fastbot                cov_method  21.582  19.919   99   63  0.00179 sim
 300 droidmate              fastbot                mop_total        0       0   59   15      0.0 sim
 300 droidmate              qtesting               cov_mop      18.07  13.955  103   36      0.0 sim
 300 droidmate              qtesting               mop_unique       0       0   22    8  0.01165 sim
 300 droidmate              qtesting               mop_unique4       0       0   20    8  0.01613 sim
 300 droidmate              qtesting               cov_method  21.582  17.627  117   43      0.0 sim
 300 droidmate              qtesting               mop_total        0       0   17   55      0.0 sim
 300 humanoid               ares                   cov_mop      20.85  18.503   69   74  0.51771 nao
 300 humanoid               ares                   mop_unique       0       0   20   14  0.52648 nao
 300 humanoid               ares                   mop_unique4       0       0   19   13  0.50612 nao
 300 humanoid               ares                   cov_method  21.555  21.193   86   75  0.08715 nao
 300 humanoid               ares                   mop_total        0       0   24   49  0.01863 sim
 300 humanoid               fastbot                cov_mop      20.85   17.22   83   58  0.00901 sim
 300 humanoid               fastbot                mop_unique       0       0   21   18  0.46711 nao
 300 humanoid               fastbot                mop_unique4       0       0   22   16  0.29939 nao
 300 humanoid               fastbot                cov_method  21.555  19.919   95   67  0.01585 sim
 300 humanoid               fastbot                mop_total        0       0   27   32   0.5555 nao
 300 humanoid               qtesting               cov_mop      20.85  13.955   96   43      0.0 sim
 300 humanoid               qtesting               mop_unique       0       0   24   13  0.02698 sim
 300 humanoid               qtesting               mop_unique4       0       0   23   13  0.01749 sim
 300 humanoid               qtesting               cov_method  21.555  17.627  106   54      0.0 sim
 300 humanoid               qtesting               mop_total        0       0   22   55      0.0 sim
 300 ares                   fastbot                cov_mop     18.503   17.22   82   60  0.06299 nao
 300 ares                   fastbot                mop_unique       0       0   17   22  0.71049 nao
 300 ares                   fastbot                mop_unique4       0       0   17   20  0.89191 nao
 300 ares                   fastbot                cov_method  21.193  19.919   90   72  0.14873 nao
 300 ares                   fastbot                mop_total        0       0   56   20    2e-05 sim
 300 ares                   qtesting               cov_mop     18.503  13.955   97   47      0.0 sim
 300 ares                   qtesting               mop_unique       0       0   19   13  0.07391 nao
 300 ares                   qtesting               mop_unique4       0       0   18   13  0.02535 sim
 300 ares                   qtesting               cov_method  21.193  17.627  106   56      0.0 sim
 300 ares                   qtesting               mop_total        0       0   15   56      0.0 sim
 300 fastbot                qtesting               cov_mop      17.22  13.955   84   55  0.01143 sim
 300 fastbot                qtesting               mop_unique       0       0   22   13  0.07762 nao
 300 fastbot                qtesting               mop_unique4       0       0   19   13  0.06665 nao
 300 fastbot                qtesting               cov_method  19.919  17.627   95   67  0.00369 sim
 300 fastbot                qtesting               mop_total        0       0   16   52      0.0 sim
